Habit1,Habit2,Habit3,Habit4,Habit5,Habit6,Habit7,Habit8,Date
Fitness,False,False,False,False,False,False,False,20
False,False,False,False,False,False,False,False,19
False,False,False,False,False,False,False,False,18
False,False,False,False,False,False,False,False,17
False,False,False,False,False,False,False,False,16
False,False,False,False,False,False,False,False,15
False,False,False,False,False,False,False,False,14
False,False,False,False,False,False,False,False,13
False,False,False,False,False,False,False,False,12
False,False,False,False,False,False,False,False,11
